year,month,tcc_mean,tcc_se,tclw_mean,tclw_se,tciw_mean,tciw_se,tcwv_mean,tcwv_se
2005,1,0.63333,0.00064786,0.0528706,0.00012501,0.022543,6.30074e-05,23.2104,0.0519317
2005,2,0.629939,0.000656554,0.0522026,0.000137111,0.0226994,7.1395e-05,23.4504,0.0524061
2005,3,0.632985,0.00061169,0.0502783,0.000118053,0.0229971,5.61783e-05,23.6774,0.0523265
2005,4,0.630202,0.00062716,0.0506472,0.000114476,0.023265,5.992e-05,24.1461,0.0531399
2005,5,0.638086,0.000623336,0.0526411,0.000112552,0.0228067,5.68282e-05,24.5606,0.0505719
2005,6,0.637749,0.000674583,0.0577517,0.000122774,0.0220753,6.39409e-05,25.5478,0.0499717
2005,7,0.627604,0.000717694,0.0581086,0.000124925,0.0215742,6.38816e-05,26.1794,0.0506727
2005,8,0.624634,0.00071784,0.0583029,0.000128367,0.021719,6.41145e-05,25.9023,0.0506648
2005,9,0.624095,0.000694758,0.0551025,0.000116723,0.0218346,6.33066e-05,25.1124,0.0508828
2005,10,0.627314,0.000679761,0.0541256,0.000117163,0.0220812,5.98466e-05,24.0779,0.0508747
2005,11,0.636762,0.00066002,0.0519775,0.00011767,0.022328,5.86072e-05,23.1178,0.0510346
2005,12,0.629035,0.000659079,0.0512397,0.000125964,0.0221745,6.24662e-05,22.7982,0.0511673
2006,1,0.637275,0.000625599,0.0524254,0.000125592,0.0224317,6.63293e-05,23.2672,0.0519188
2006,2,0.636917,0.000606634,0.0519902,0.00013333,0.0224683,6.42236e-05,23.6634,0.052781
2006,3,0.625935,0.000660349,0.0506826,0.000122357,0.0226754,6.05747e-05,23.6183,0.0526931
2006,4,0.634615,0.000619219,0.0518417,0.000114757,0.0225746,5.82623e-05,24.0592,0.051934
2006,5,0.631821,0.000641089,0.0530733,0.000115064,0.0226364,5.69677e-05,24.2928,0.0498728
2006,6,0.620504,0.000709251,0.0556375,0.000119638,0.0219776,6.46619e-05,25.2479,0.0499527
2006,7,0.62458,0.000729176,0.0590665,0.000134852,0.0213701,6.92041e-05,26.1273,0.0502874
2006,8,0.624034,0.00072444,0.0576025,0.000130952,0.0215262,6.46518e-05,25.8932,0.0508588
2006,9,0.617298,0.000679774,0.0551881,0.000113828,0.0216618,5.9461e-05,24.9345,0.0506123
2006,10,0.6352,0.000635709,0.0540444,0.000113104,0.0227091,5.90966e-05,24.1901,0.0512189
2006,11,0.632915,0.000623088,0.0520412,0.000115917,0.0226021,5.81274e-05,23.2066,0.0506241
2006,12,0.635358,0.000638772,0.0519541,0.000123828,0.0226465,6.50595e-05,23.1785,0.0534684
2007,1,0.634152,0.000636962,0.0535406,0.000133993,0.0223548,6.98393e-05,23.3009,0.0534597
2007,2,0.628963,0.000650738,0.050728,0.000123453,0.0221462,6.41432e-05,23.2961,0.0522862
2007,3,0.62581,0.000649418,0.0515731,0.000124176,0.0226039,6.14249e-05,23.7106,0.0526635
2007,4,0.628903,0.000627794,0.0508094,0.000112502,0.0223699,5.5984e-05,24.1772,0.0524298
2007,5,0.628265,0.000664343,0.0528659,0.000113039,0.0225579,6.00777e-05,24.6,0.0514895
2007,6,0.633438,0.000679089,0.0576374,0.000121897,0.0222713,6.15547e-05,25.4159,0.050702
2007,7,0.629382,0.000712049,0.0590161,0.000133367,0.021353,6.47959e-05,25.9755,0.0496207
2007,8,0.628497,0.000735863,0.0593394,0.000130594,0.0213885,6.56651e-05,25.9809,0.0509039
2007,9,0.618291,0.000729655,0.0553792,0.000117177,0.021598,6.33627e-05,24.8639,0.051615
2007,10,0.623935,0.000684476,0.0532572,0.000117773,0.0220627,5.90907e-05,23.6217,0.0502622
2007,11,0.63432,0.000673084,0.0514146,0.000114779,0.0226464,6.3154e-05,22.9351,0.0507464
2007,12,0.638358,0.000647338,0.0530507,0.000127932,0.0225504,6.24159e-05,22.7641,0.0507327
2008,1,0.640191,0.000639088,0.0530014,0.00013667,0.0224686,7.02161e-05,22.9525,0.0513077
2008,2,0.621768,0.000698711,0.0518443,0.000131596,0.0224123,6.68213e-05,22.9,0.0513338
2008,3,0.623537,0.000678737,0.0494879,0.000117122,0.0221277,5.71737e-05,23.255,0.0513557
2008,4,0.627268,0.00067244,0.0505337,0.000115383,0.0226428,5.70175e-05,23.534,0.0508502
2008,5,0.627939,0.000673801,0.0525759,0.000113718,0.0224356,6.05836e-05,23.9714,0.048802
2008,6,0.627246,0.000715847,0.0563642,0.000124799,0.0221868,6.22663e-05,24.9582,0.0491574
2008,7,0.619775,0.000727474,0.0580292,0.000127928,0.0214994,6.44645e-05,25.6992,0.0490801
2008,8,0.621587,0.000719532,0.0576673,0.000126785,0.0211928,6.1274e-05,25.7964,0.0501482
2008,9,0.627369,0.000695078,0.0552528,0.00011319,0.0220927,6.35531e-05,24.7748,0.050387
2008,10,0.623429,0.000668353,0.0522994,0.000112353,0.0226658,6.08095e-05,23.9326,0.0509614
2008,11,0.635603,0.000658173,0.0528298,0.000118831,0.0226058,6.13868e-05,23.3087,0.0515218
2008,12,0.637787,0.000658054,0.052709,0.000123552,0.0228991,6.33644e-05,22.9504,0.0510041
2009,1,0.636621,0.000647048,0.051706,0.000123824,0.0225462,6.51349e-05,23.047,0.0517139
2009,2,0.630591,0.000671445,0.0514014,0.000129753,0.0222317,6.47083e-05,23.5421,0.0530314
2009,3,0.633372,0.00066467,0.0501433,0.00012002,0.0227564,5.88781e-05,23.6367,0.051964
2009,4,0.628906,0.000634292,0.0497077,0.000115997,0.0228969,5.64567e-05,23.9143,0.0523541
2009,5,0.628971,0.000636137,0.0521853,0.000112824,0.0224547,5.59453e-05,24.3539,0.0506569
2009,6,0.633391,0.000652257,0.0545913,0.000114373,0.0222042,6.02477e-05,25.2488,0.0494582
2009,7,0.629875,0.000711527,0.0593205,0.000138201,0.0218703,6.76975e-05,26.1383,0.0511065
2009,8,0.617621,0.000728128,0.0567869,0.000126626,0.0212369,6.18901e-05,26.0651,0.0517182
2009,9,0.622171,0.000687753,0.0555147,0.000113534,0.0221602,6.438e-05,25.4692,0.0519302
2009,10,0.632938,0.000664552,0.0538716,0.000119231,0.0225501,5.87999e-05,23.9766,0.0508344
2009,11,0.641352,0.000626439,0.0531579,0.000121829,0.0227574,6.10526e-05,23.5243,0.052043
2009,12,0.644647,0.00060515,0.0512334,0.000121306,0.0227423,6.06794e-05,23.212,0.0522541
2010,1,0.63472,0.000639325,0.0521068,0.000127768,0.0222576,6.64993e-05,23.3012,0.053676
2010,2,0.640514,0.000606029,0.0521249,0.000130259,0.0225445,6.63167e-05,23.9862,0.0542111
2010,3,0.631225,0.000630098,0.051057,0.000122569,0.0225648,6.2045e-05,24.1812,0.0548739
2010,4,0.643382,0.000588271,0.0512056,0.000119251,0.0226876,5.8912e-05,24.8054,0.0546497
2010,5,0.63966,0.000626301,0.0549322,0.0001184,0.0226644,5.91754e-05,25.2131,0.0534492
2010,6,0.640086,0.000690668,0.0583272,0.000127807,0.0219649,6.32004e-05,25.8642,0.0512369
2010,7,0.638745,0.000710255,0.0618243,0.000133456,0.0213357,6.45319e-05,26.8181,0.0512458
2010,8,0.628486,0.000731533,0.0602946,0.000132109,0.021207,6.49219e-05,26.4254,0.0521887
2010,9,0.627183,0.000695108,0.0571337,0.000120161,0.0218024,6.04658e-05,25.2451,0.0510452
2010,10,0.627916,0.000680234,0.0543251,0.000115767,0.0224636,5.98762e-05,24.0923,0.0504424
2010,11,0.631353,0.000695839,0.0534776,0.000121099,0.0223031,6.16327e-05,23.1756,0.0505711
2010,12,0.633114,0.000682813,0.0533517,0.000124705,0.0225043,6.34469e-05,22.8056,0.0503189
2011,1,0.633625,0.000651223,0.0525131,0.000130638,0.0220623,6.57163e-05,23.1126,0.051543
2011,2,0.62827,0.000679645,0.0524141,0.000123786,0.0225719,6.76302e-05,23.209,0.0515336
2011,3,0.619088,0.000676542,0.0512879,0.000124168,0.0218263,5.9474e-05,23.5721,0.0524924
2011,4,0.630964,0.000621747,0.051035,0.000109925,0.0225295,5.62194e-05,24.0731,0.0517405
2011,5,0.637191,0.000643654,0.0536349,0.000118207,0.0228662,5.97368e-05,24.71,0.0508741
2011,6,0.641041,0.000692053,0.0586516,0.000128413,0.0224128,6.42403e-05,25.432,0.0497432
2011,7,0.628456,0.000721781,0.0598993,0.000133316,0.0214938,6.71235e-05,26.1008,0.049698
2011,8,0.624681,0.00072943,0.0584588,0.000130653,0.0211305,6.51391e-05,25.9706,0.0508705
2011,9,0.614335,0.000728551,0.0549904,0.000123459,0.0211886,6.39133e-05,24.7815,0.0513366
2011,10,0.626804,0.000650684,0.053723,0.00011448,0.0222452,5.59529e-05,23.7753,0.0495
2011,11,0.635232,0.00064849,0.0523661,0.000116702,0.0226888,6.09515e-05,23.1518,0.0515865
2011,12,0.635,0.000683583,0.0538139,0.00013157,0.0219961,6.39644e-05,22.9764,0.052237
2012,1,0.629706,0.000671493,0.051528,0.000137495,0.0221268,6.81782e-05,22.7697,0.0509914
2012,2,0.630013,0.000639842,0.0509538,0.00013434,0.0219793,6.10918e-05,23.2246,0.0514906
2012,3,0.62876,0.000657768,0.051955,0.000126848,0.022513,6.11803e-05,23.6341,0.0527771
2012,4,0.639588,0.000600779,0.0508299,0.000112887,0.022457,5.34977e-05,24.3115,0.0518279
2012,5,0.628952,0.000664874,0.0526294,0.000113525,0.0221838,5.6523e-05,24.686,0.0512879
2012,6,0.625935,0.000708112,0.0572952,0.000127281,0.0220054,6.49412e-05,25.395,0.0485241
2012,7,0.630589,0.000741738,0.0593434,0.00013835,0.0212513,6.50272e-05,26.3902,0.05049
2012,8,0.626492,0.000737548,0.0582027,0.000131773,0.0216025,6.59972e-05,25.953,0.050416
2012,9,0.622586,0.000692184,0.0550131,0.000116855,0.0218635,6.32125e-05,24.9366,0.0506653
2012,10,0.629357,0.000645118,0.0529031,0.000115839,0.0222931,5.73054e-05,23.968,0.050103
2012,11,0.643414,0.000636647,0.0526911,0.000122334,0.0228154,6.09677e-05,23.5355,0.0513287
2012,12,0.643237,0.000609598,0.0513991,0.000121357,0.0226891,6.15701e-05,23.3265,0.0524168
2013,1,0.645285,0.000645292,0.0544919,0.000137097,0.0225042,6.76321e-05,23.3988,0.0527291
2013,2,0.633366,0.000664705,0.0527247,0.000133796,0.021959,6.38912e-05,23.5655,0.0530137
2013,3,0.636271,0.000610205,0.0506938,0.000119743,0.0223268,5.94441e-05,24.126,0.0542923
2013,4,0.637066,0.000634152,0.0518086,0.000115473,0.0223753,5.62148e-05,24.1642,0.0527374
2013,5,0.637818,0.00064874,0.053366,0.000113846,0.0227223,5.72333e-05,24.6901,0.0515099
2013,6,0.63403,0.00069177,0.0573118,0.000125193,0.0219582,6.44341e-05,25.5519,0.0506217
2013,7,0.632953,0.000720857,0.0600024,0.00014113,0.0213327,6.48869e-05,26.355,0.0497938
2013,8,0.622125,0.000710834,0.0579111,0.000131401,0.0208937,6.26466e-05,25.9312,0.0505035
2013,9,0.622481,0.000694776,0.056608,0.000119943,0.0220228,6.16157e-05,25.1046,0.0506936
2013,10,0.62677,0.000682599,0.0529489,0.000112542,0.0220798,5.81789e-05,23.9479,0.0506637
